Date,Activité: en amoureux,Activité: jeu de société,Activité: social,Activité: marche,Activité: Vélo,Activité: Sport,Taf: Recherche d'emploi,Ordi: Jeu vidéo,Ordi: Code,Photos: prises,Photos: traitées,Photos: postées,Mood : Heureux,Mood: Anxiété,Mood: Apathie,Mood: Dynamique,Mood : fatigué,Mood : triste,Repas: Resto,Repas: Alcool,Repas : Café,Repas: gras ++,Repas: sucre ++,Repas : quantité ++,Repas: grignotage,Sommeil : couché tard,Sommeil : levé tard,Sommeil : mal dormi,Durée sommeil,Poids,Santé : charge lourde,Santé : Mal de dos
03-23-24,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,2,-1,-1,6700,-1,2,-1
03-22-24,-1,-1,-1,2,-1,-1,-1,-1,2,-1,2,1,-1,-1,-1,2,2,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,8250,-1,-1,-1
03-21-24,-1,-1,-1,1,-1,2,-1,-1,2,2,-1,2,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,8750,-1,-1,-1
03-20-24,-1,-1,-1,1,2,-1,2,2,2,-1,2,1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,2,-1,-1,-1,-1,2,7100,-1,-1,-1
03-19-24,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,2,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,2,6380,-1,-1,-1
03-18-24,-1,2,-1,1,2,-1,2,-1,2,1,-1,1,2,-1,-1,2,2,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,6700,-1,-1,-1
03-17-24,-1,-1,-1,1,-1,1,2,-1,2,2,-1,2,2,2,-1,2,2,-1,-1,-1,2,-1,2,-1,-1,2,2,2,8250,81000,-1,-1
03-16-24,-1,-1,-1,1,2,2,-1,1,-1,1,-1,2,2,-1,-1,2,2,-1,-1,2,2,-1,-1,-1,-1,2,2,-1,8750,-1,-1,-1
03-15-24,-1,-1,-1,2,2,2,2,2,-1,1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,7100,-1,-1,-1
03-14-24,-1,1,-1,-1,2,1,2,2,-1,1,2,1,-1,2,-1,-1,-1,2,-1,2,2,-1,-1,-1,-1,2,-1,-1,5500,-1,-1,-1
03-13-24,-1,2,2,-1,-1,2,2,1,-1,1,1,2,-1,2,-1,-1,-1,2,-1,-1,2,-1,-1,2,-1,-1,-1,-1,6600,-1,-1,-1
03-12-24,-1,2,-1,-1,-1,1,2,2,-1,1,1,2,-1,-1,-1,2,-1,1,-1,2,2,-1,-1,-1,2,-1,-1,-1,7400,80500,-1,-1
03-11-24,-1,1,-1,-1,-1,2,-1,1,-1,1,1,1,-1,2,-1,-1,-1,2,-1,2,2,2,-1,-1,2,-1,-1,2,6400,-1,-1,-1
03-10-24,-1,2,-1,1,-1,2,-1,2,-1,2,1,2,2,-1,-1,2,-1,1,-1,2,2,-1,-1,-1,2,2,2,-1,7200,-1,2,-1
